symbol,neutrons,protons,instability,abundance
Cr,19,24,0.9999788002247184,0.0
Cr,20,24,0.9999572009159069,0.0
Cr,21,24,0.9999391018543674,0.0
Cr,22,24,0.9997400337970709,0.0
Cr,23,24,0.9995001249791693,0.0
Cr,24,24,1.957940512339213e-34,0.0
Cr,25,24,0.07902429042826366,0.0
Cr,26,24,0.0,4.345
Cr,27,24,0.0,0.0
Cr,28,24,0.0,83.789
Cr,29,24,0.0,9.501
Cr,30,24,0.0,2.365
Cr,31,24,0.8107301642667144,0.0
Cr,32,24,0.7001924872174969,0.0
Cr,33,24,0.9791210475689343,0.0
Cr,34,24,0.9930244429332351,0.0
Cr,35,24,0.9992602737324752,0.0
Cr,36,24,0.9995101200303942,0.0
Cr,37,24,0.9997660273758646,0.0
Cr,38,24,0.9997940212165431,0.0
Cr,39,24,0.9998710083201422,0.0
Cr,40,24,0.9999571009201919,0.0
Cr,41,24,0.9999730003644968,0.0
Cr,42,24,0.9999760002879977,0.0
Mn,21,25,0.9999638006552121,0.0
Mn,22,25,0.9999000049998333,0.0
Mn,23,25,0.9998423124339914,0.0
Mn,24,25,0.9996180729527104,0.0
Mn,25,25,0.9997168500945032,0.0
Mn,26,25,0.06253680597317074,0.0
Mn,27,25,1.6168333737517047e-210,0.0
Mn,28,25,0.0,0.0
Mn,29,25,0.0,0.0
Mn,30,25,0.0,100.0
Mn,31,25,9.289506826913089e-05,0.0
Mn,32,25,0.918144952958883,0.0
Mn,33,25,0.997004495503373,0.0
Mn,34,25,0.9954205179513809,0.0
Mn,35,25,0.9997200391963416,0.0
Mn,36,25,0.9992912512811104,0.0
Mn,37,25,0.9999080042318702,0.0
Mn,38,25,0.9997250378090341,0.0
Mn,39,25,0.9999100040498785,0.0
Mn,40,25,0.9999080042318702,0.0
Mn,41,25,0.9999350021124542,0.0
Mn,42,25,0.9999530011044827,0.0
Mn,43,25,0.9999720003919963,0.0
Mn,44,25,0.9999840001279993,0.0
Mn,45,25,0.9999801001980037,0.0
Fe,19,26,0.9999981100017861,0.0
Fe,20,26,0.9999870000844996,0.0
Fe,21,26,0.9999782002376183,0.0
Fe,22,26,0.9999545010351093,0.0
Fe,23,26,0.9999353020929999,0.0
Fe,24,26,0.9998480115514147,0.0
Fe,25,26,0.9996950465077716,0.0
Fe,26,26,1.1544294150005416e-13,0.0
Fe,27,26,0.6001353895325682,0.0
Fe,28,26,0.0,5.845
Fe,29,26,0.0,0.0
Fe,30,26,0.0,91.754
Fe,31,26,0.0,2.119
Fe,32,26,0.0,0.282
Fe,33,26,0.0,0.0
Fe,34,26,0.0,0.0
Fe,35,26,0.6985140401902621,0.0
Fe,36,26,0.9342604735772135,0.0
Fe,37,26,0.993918567227454,0.0
Fe,38,26,0.9980019986673331,0.0
Fe,39,26,0.9991903279614445,0.0
Fe,40,26,0.9995600967858043,0.0
Fe,41,26,0.9994001799640054,0.0
Fe,42,26,0.9998120176708926,0.0
Fe,43,26,0.9998900060497782,0.0
Fe,44,26,0.9999350021124542,0.0
Fe,45,26,0.9999720003919963,0.0
Fe,47,26,0.9999871000832047,0.0
Fe,48,26,0.9999918000336199,0.0
Co,23,27,0.9999612007527102,0.0
Co,24,27,0.9999312023666658,0.0
Co,25,27,0.9998960054078125,0.0
Co,26,27,0.9997600287976961,0.0
Co,27,27,0.9998067386773759,0.0
Co,28,27,3.913306245730695e-28,0.0
Co,29,27,0.0,0.0
Co,30,27,0.0,0.0
Co,31,27,0.0,0.0
Co,32,27,0.0,100.0
Co,33,27,0.0,0.0
Co,34,27,0.0026415220337940816,0.0
Co,35,27,0.9117403804439562,0.0
Co,36,27,0.9729719748862449,0.0
Co,37,27,0.9997000449955004,0.0
Co,38,27,0.9988406725399261,0.0
Co,39,27,0.9998000199986667,0.0
Co,40,27,0.999575090299707,0.0
Co,41,27,0.9998000199986667,0.0
Co,42,27,0.9997730257625506,0.0
Co,43,27,0.9998880062717659,0.0
Co,44,27,0.9999200031999147,0.0
Co,45,27,0.9999401017939692,0.0
Co,46,27,0.9999593008282338,0.0
Co,47,27,0.9999687004898399,0.0
Co,48,27,0.9999700004499955,0.0
Co,49,27,0.9999783002354433,0.0
Co,50,27,0.9999870000844996,0.0
Ni,20,28,0.999997900002205,0.0
Ni,21,28,0.9999925000281249,0.0
Ni,22,28,0.999981500171124,0.0
Ni,23,28,0.9999762002832178,0.0
Ni,24,28,0.9999592008323087,0.0
Ni,25,28,0.999944801523492,0.0
Ni,26,28,0.9998858065205718,0.0
Ni,27,28,0.9997953209496155,0.0
Ni,28,28,1.1156098461853876e-228,0.0
Ni,29,28,2.1918922408179164e-56,0.0
Ni,30,28,0.0,68.0769
Ni,31,28,0.0,0.0
Ni,32,28,0.0,26.2231
Ni,33,28,0.0,1.1399
Ni,34,28,0.0,3.6345
Ni,35,28,0.0,0.0
Ni,36,28,0.0,0.9256
Ni,37,28,0.00011587483013644222,0.0
Ni,38,28,4.315952308860729e-86,0.0
Ni,39,28,0.9792189645694596,0.0
Ni,40,28,0.9714164644666048,0.0
Ni,41,28,0.9886647337781319,0.0
Ni,42,28,0.9940179640539353,0.0
Ni,43,28,0.997443274005586,0.0
Ni,44,28,0.9984312318052709,0.0
Ni,45,28,0.9991603527012367,0.0
Ni,46,28,0.9994924288578371,0.0
Ni,47,28,0.999656059161216,0.0
Ni,48,28,0.9997620283197532,0.0
Ni,49,28,0.9998411126239364,0.0
Ni,50,28,0.9998900060497782,0.0
Ni,51,28,0.9999570009244867,0.0
Ni,52,28,0.9999760002879977,0.0
Cu,26,29,0.9999600007999894,0.0
Cu,27,29,0.999907004324366,0.0
Cu,28,29,0.9998037192655844,0.0
Cu,29,29,0.9968011273305492,0.0
Cu,30,29,0.9217327098538872,0.0
Cu,31,29,0.24123107196915192,0.0
Cu,32,29,6.020140259468057e-06,0.0
Cu,33,29,0.5597863980893097,0.0
Cu,34,29,0.0,69.15
Cu,35,29,1.390331016114265e-20,0.0
Cu,36,29,0.0,30.85
Cu,37,29,0.735503485499103,0.0
Cu,38,29,2.1441731933415066e-97,0.0
Cu,39,29,0.969572525480873,0.0
Cu,40,29,0.8428215734716199,0.0
Cu,41,29,0.9564756000936208,0.0
Cu,42,29,0.980786968981793,0.0
Cu,43,29,0.9933919299580276,0.0
Cu,44,29,0.9958088076649545,0.0
Cu,45,29,0.9983713277285029,0.0
Cu,46,29,0.9987767487824656,0.0
Cu,47,29,0.9993592053966113,0.0
Cu,48,29,0.9995303103387403,0.0
Cu,49,29,0.9996650561062347,0.0
Cu,50,29,0.9997590290381673,0.0
Cu,51,29,0.9998864064522357,0.0
Cu,52,29,0.9999268026790546,0.0
Cu,53,29,0.9999670005444941,0.0
Zn,24,30,0.9999984100012641,0.0
Zn,25,30,0.9999800001999987,0.0
Zn,26,30,0.9999700004499955,0.0
Zn,27,30,0.9999600007999894,0.0
Zn,28,30,0.9999133037583364,0.0
Zn,29,30,0.9998214159480305,0.0
Zn,30,30,0.8669274370455051,0.0
Zn,31,30,0.91475409359117,0.0
Zn,32,30,4.237512382858009e-15,0.0
Zn,33,30,0.09944008271220593,0.0
Zn,34,30,0.0,49.17
Zn,35,30,0.0,0.0
Zn,36,30,0.0,27.73
Zn,37,30,0.0,4.04
Zn,38,30,0.0,18.45
Zn,39,30,0.033911536932488856,0.0
Zn,40,30,0.0,0.61
Zn,41,30,0.8632939774163194,0.0
Zn,42,30,1.9911488596597545e-73,0.0
Zn,43,30,0.9757976889184073,0.0
Zn,44,30,0.9088274743619462,0.0
Zn,45,30,0.9898518435820949,0.0
Zn,46,30,0.9943162141784332,0.0
Zn,47,30,0.9979221617009609,0.0
Zn,48,30,0.9985310799207741,0.0
Zn,49,30,0.9992542781888194,0.0
Zn,50,30,0.9994382578362409,0.0
Zn,51,30,0.9996800511945391,0.0
Zn,52,30,0.9998340137772377,0.0
Zn,53,30,0.999883006844233,0.0
Ga,29,31,0.9999300024499428,0.0
Ga,30,31,0.9998330139437238,0.0
Ga,31,31,0.9998838857417823,0.0
Ga,32,31,0.9681192569165628,0.0
Ga,33,31,0.8541743065413935,0.0
Ga,34,31,0.401719980097586,0.0
Ga,35,31,1.4546661075044998e-15,0.0
Ga,36,31,4.084038953235654e-123,0.0
Ga,37,31,0.017204229916835685,0.0
Ga,38,31,0.0,60.108
Ga,39,31,0.2812813120294921,0.0
Ga,40,31,0.0,39.892
Ga,41,31,9.020115499931929e-23,0.0
Ga,42,31,2.5210632671710036e-08,0.0
Ga,43,31,0.6143441518265632,0.0
Ga,44,31,0.8816148467834161,0.0
Ga,45,31,0.9679256524262738,0.0
Ga,46,31,0.9868867379336502,0.0
Ga,47,31,0.9949229320992347,0.0
Ga,48,31,0.997156051704669,0.0
Ga,49,31,0.9981018038573761,0.0
Ga,50,31,0.9987837402441772,0.0
Ga,51,31,0.9994001799640054,0.0
Ga,52,31,0.999691947457931,0.0
Ga,53,31,0.9999150036123976,0.0
Ga,54,31,0.9999080042318702,0.0
Ga,55,31,0.9999570009244867,0.0
Ge,27,32,0.9999867000884446,0.0
Ge,29,32,0.9999560009679858,0.0
Ge,30,32,0.9998710083201422,0.0
Ge,31,32,0.9998500112494375,0.0
Ge,32,32,0.9382864432450351,0.0
Ge,33,32,0.969572525480873,0.0
Ge,34,32,0.00029280608324001184,0.0
Ge,35,32,0.32174370422037013,0.0
Ge,36,32,0.0,0.0
Ge,37,32,8.84874610234379e-62,0.0
Ge,38,32,0.0,20.52
Ge,39,32,0.0,0.0
Ge,40,32,0.0,27.45
Ge,41,32,0.0,7.76
Ge,42,32,0.0,36.52
Ge,43,32,0.006965401695324437,0.0
Ge,44,32,0.0,7.75
Ge,45,32,2.9651620163052518e-18,0.0
Ge,46,32,0.00509243079269919,0.0
Ge,47,32,0.9811989860262881,0.0
Ge,48,32,0.9709308776411942,0.0
Ge,49,32,0.9924288069761313,0.0
Ge,50,32,0.9960079893439915,0.0
Ge,51,32,0.9981517101952171,0.0
Ge,52,32,0.9990464549133261,0.0
Ge,53,32,0.999497126483292,0.0
Ge,54,32,0.9997740255360762,0.0
Ge,55,32,0.9998600097995427,0.0
As,31,33,0.9999310023804453,0.0
As,32,33,0.9998720081916505,0.0
As,33,33,0.9999042345858,0.0
As,34,33,0.958390465520947,0.0
As,35,33,0.8593319447816459,0.0
As,36,33,0.401719980097586,0.0
As,37,33,0.042595783903756214,0.0
As,38,33,8.054770933215862e-103,0.0
As,39,33,2.2389092666752635e-41,0.0
As,40,33,0.0,0.0
As,41,33,0.0,0.0
As,42,33,0.0,100.0
As,43,33,9.436393906535182e-42,0.0
As,44,33,2.2562196074741982e-61,0.0
As,45,33,0.004330812977380874,0.0
As,46,33,0.5823987082962748,0.0
As,47,33,0.9849149369160675,0.0
As,48,33,0.9672483415560369,0.0
As,49,33,0.981081249212315,0.0
As,50,33,0.9866893803224824,0.0
As,51,33,0.9958088076649545,0.0
As,52,33,0.9979810408454189,0.0
As,53,33,0.9990554463718818,0.0
As,54,33,0.9995161171091056,0.0
As,55,33,0.9998000199986667,0.0
Se,31,34,0.9999670005444941,0.0
